endpoint,model,subset_key,n_modalities,mean_weighted_f1,std_weighted_f1,mean_auc,std_auc,mean_acc,std_acc,mean_threshold,n_folds
rec,lgbm,semantic+spatial,2,0.6778642897488236,0.030189208103562914,0.4784997218176941,0.035234151730730516,0.7375215146299483,0.029811028175237956,0.344,5
rec,lgbm,clinical,1,0.9829774722769982,0.018498093081044435,0.9922310664246148,0.010183346262681069,0.9832472748135398,0.018168620583772322,0.346,5
rec,lgbm,pathological,1,0.7373075964605277,0.02121623357518251,0.6349793746107111,0.0690799147548544,0.7612736660929432,0.02861878918756578,0.48200000000000004,5
rec,lgbm,temporal,1,0.6827740207782175,0.018971121905000138,0.5701454971040224,0.06157395223822022,0.7111589213998852,0.026623991152133472,0.462,5
rec,lgbm,spatial,1,0.6745734660859523,0.02698325233533797,0.5225923930993055,0.012639003035410816,0.7113884107860011,0.058366265173708416,0.262,5
rec,lgbm,semantic,1,0.6661133711755803,0.023071055568115523,0.4757754747386084,0.04127188870808793,0.7541594951233506,0.011061858568364197,0.404,5
rec,rf,clinical+semantic+temporal+pathological+spatial,5,0.980615411790837,0.018445154439707838,0.9959118284003076,0.004241143324130734,0.9808663224325874,0.01815451791767182,0.41400000000000003,5
rec,rf,clinical+semantic+temporal+spatial,4,0.9810468695538468,0.02134316314478114,0.9954464548934595,0.0051667988481021625,0.9808663224325874,0.021709672425721617,0.372,5
rec,rf,clinical+semantic+pathological+spatial,4,0.980615411790837,0.018445154439707838,0.9959048461352609,0.004515904227440701,0.9808663224325874,0.01815451791767182,0.418,5
rec,rf,clinical+temporal+pathological+spatial,4,0.980615411790837,0.018445154439707838,0.9957582185692784,0.004480481587225568,0.9808663224325874,0.01815451791767182,0.41,5
rec,rf,clinical+semantic+temporal+pathological,4,0.9786840788561724,0.021032031917415126,0.9957606568205646,0.004406033175795794,0.978485370051635,0.021368792388369126,0.3,5
rec,rf,semantic+temporal+pathological+spatial,4,0.769471613684819,0.041854768702295674,0.6974693168241555,0.07845748877557641,0.7827882960413082,0.029885568655896158,0.33399999999999996,5
rec,rf,clinical+pathological+spatial,3,0.9829782024885114,0.01849323200589623,0.9962050835322724,0.0043274735613984495,0.9832472748135398,0.018168620583772322,0.48200000000000004,5
rec,rf,clinical+semantic+pathological,3,0.9829782024885114,0.01849323200589623,0.9960493679387689,0.004778291327801651,0.9832472748135398,0.018168620583772322,0.48200000000000004,5
rec,rf,clinical+semantic+spatial,3,0.9829782024885114,0.01849323200589623,0.9957397100254243,0.0053211103226762195,0.9832472748135398,0.018168620583772322,0.49000000000000005,5
rec,rf,clinical+temporal+spatial,3,0.9829782024885114,0.01849323200589623,0.9957466922904711,0.004978314247648955,0.9832472748135398,0.018168620583772322,0.484,5
rec,rf,clinical+temporal+pathological,3,0.9828447900098011,0.01866990796591694,0.9958957581077396,0.0049972297459843044,0.9832472748135398,0.018168620583772322,0.5,5
rec,rf,clinical+semantic+temporal,3,0.980788918903879,0.021760458494888783,0.9955955207107282,0.005141273700531034,0.9808663224325874,0.021709672425721617,0.40800000000000003,5
rec,rf,semantic+pathological+spatial,3,0.7809878340253329,0.033637587463376646,0.6950298464123349,0.06020733418687709,0.7899024670109007,0.0281737435823124,0.33799999999999997,5
rec,rf,temporal+pathological+spatial,3,0.7703835125214793,0.039762258189219045,0.6800831443688586,0.08118109690386868,0.7923694779116466,0.035249809691822676,0.372,5
rec,rf,semantic+temporal+pathological,3,0.7623341215247136,0.03890358506586668,0.684280926446825,0.07434405540342534,0.7827022375215147,0.039872361981880024,0.386,5
rec,rf,semantic+temporal+spatial,3,0.6837471525754235,0.020068700853988156,0.5345345045805876,0.08335474923469366,0.7136546184738956,0.04333233768038541,0.318,5
rec,rf,clinical+semantic,2,0.9829782024885114,0.01849323200589623,0.9954464548934595,0.005166798848102173,0.9832472748135398,0.018168620583772322,0.492,5
rec,rf,clinical+spatial,2,0.9829782024885114,0.01849323200589623,0.9957491305417573,0.004910479297397041,0.9832472748135398,0.018168620583772322,0.48600000000000004,5
rec,rf,clinical+pathological,2,0.9828447900098011,0.01866990796591694,0.9960514737012434,0.004574610711352998,0.9832472748135398,0.018168620583772322,0.508,5
rec,rf,clinical+temporal,2,0.9828447900098011,0.01866990796591694,0.9957536745555178,0.004670822608675952,0.9832472748135398,0.018168620583772322,0.522,5
rec,rf,pathological+spatial,2,0.7713876849443502,0.038986128396150614,0.702227675038735,0.06563813666118912,0.7971313826735514,0.02527734534194889,0.404,5
rec,rf,semantic+pathological,2,0.7706580852892726,0.030139358079618633,0.6934659298714598,0.06964549918529407,0.7923694779116466,0.025993377219465676,0.386,5
