endpoint,model,subset_key,subset_modalities,n_modalities,fold,threshold,weighted_f1,auc,acc,n_train,n_val
rec,rf,clinical+semantic,clinical+semantic,2,0,0.24,1.0,1.0,1.0,335,84
rec,voting,clinical+semantic,clinical+semantic,2,0,0.12,1.0,1.0,1.0,335,84
rec,xgb,clinical+semantic,clinical+semantic,2,0,0.05,1.0,1.0,1.0,335,84
rec,et,clinical+semantic,clinical+semantic,2,1,0.72,0.9633273703041146,0.9924414210128496,0.9642857142857144,335,84
rec,lgbm,clinical+semantic,clinical+semantic,2,1,0.22,0.9639907816401,0.9909297052154196,0.9642857142857144,335,84
rec,rf,clinical+semantic,clinical+semantic,2,1,0.7000000000000001,0.9633273703041146,0.9916855631141344,0.9642857142857144,335,84
rec,voting,clinical+semantic,clinical+semantic,2,1,0.49,0.9639907816401,0.9931972789115646,0.9642857142857144,335,84
rec,xgb,clinical+semantic,clinical+semantic,2,1,0.72,0.9757812499999998,0.9916855631141346,0.9761904761904762,335,84
rec,et,clinical+semantic,clinical+semantic,2,2,0.3,1.0,1.0,1.0,335,84
rec,lgbm,clinical+semantic,clinical+semantic,2,2,0.09,1.0,1.0,1.0,335,84
rec,rf,clinical+semantic,clinical+semantic,2,2,0.33,1.0,1.0,1.0,335,84
rec,voting,clinical+semantic,clinical+semantic,2,2,0.2,1.0,1.0,1.0,335,84
rec,xgb,clinical+semantic,clinical+semantic,2,2,0.23,1.0,1.0,1.0,335,84
rec,et,clinical+semantic,clinical+semantic,2,3,0.26,0.9761904761904762,0.9948680351906158,0.9761904761904762,335,84
rec,lgbm,clinical+semantic,clinical+semantic,2,3,0.03,0.9881791198864368,0.999266862170088,0.988095238095238,335,84
rec,rf,clinical+semantic,clinical+semantic,2,3,0.65,0.9880044296788482,0.997067448680352,0.988095238095238,335,84
rec,voting,clinical+semantic,clinical+semantic,2,3,0.79,0.9880044296788482,0.997800586510264,0.988095238095238,335,84
rec,xgb,clinical+semantic,clinical+semantic,2,3,0.03,0.9881791198864368,0.999266862170088,0.988095238095238,335,84
rec,et,clinical+semantic,clinical+semantic,2,4,0.49,0.9635592124595944,0.9869431643625192,0.963855421686747,336,83
rec,lgbm,clinical+semantic,clinical+semantic,2,4,0.99,0.9628921500660425,0.9669738863287248,0.963855421686747,336,83
rec,rf,clinical+semantic,clinical+semantic,2,4,0.54,0.9635592124595944,0.9884792626728112,0.963855421686747,336,83
rec,voting,clinical+semantic,clinical+semantic,2,4,0.81,0.9628921500660425,0.9869431643625192,0.963855421686747,336,83
rec,xgb,clinical+semantic,clinical+semantic,2,4,0.81,0.9628921500660425,0.978494623655914,0.963855421686747,336,83
rec,et,clinical+semantic+pathological,clinical+semantic+pathological,3,0,0.25,1.0,1.0,1.0,335,84
rec,lgbm,clinical+semantic+pathological,clinical+semantic+pathological,3,0,0.01,1.0,1.0,1.0,335,84
rec,rf,clinical+semantic+pathological,clinical+semantic+pathological,3,0,0.24,1.0,1.0,1.0,335,84
rec,voting,clinical+semantic+pathological,clinical+semantic+pathological,3,0,0.13,1.0,1.0,1.0,335,84
rec,xgb,clinical+semantic+pathological,clinical+semantic+pathological,3,0,0.06,1.0,1.0,1.0,335,84
